Identifiant Fournisseur;Nom fournisseur;Status fournisseur;Référence produit;Prix produit
1;Music 75;Constructeur;piano001;1110.00
1;Music 75;Constructeur;guitare001;110.00
1;Music 75;Constructeur;guitare003;299.99
1;Music 75;Constructeur;saxophone002;450.00
1;Music 75;Constructeur;bass002;790.20
1;Music 75;Constructeur;bass004;2000.99
1;Music 75;Constructeur;flute003;987.00
1;Music 75;Constructeur;percussion002;789.00
2;Royez Music;Importateur;piano002;1200.00
2;Royez Music;Importateur;saxophone001;300.00
2;Royez Music;Importateur;batterie004;799.90
2;Royez Music;Importateur;sono003;1100.00
2;Royez Music;Importateur;flute001;100.00
2;Royez Music;Importateur;percussion001;699.00
3;Droit Music;Constructeur;piano004;4500.00
3;Droit Music;Constructeur;guitare004;999.00
3;Droit Music;Constructeur;batterie002;1220.00
3;Droit Music;Constructeur;batterie003;2100.00
3;Droit Music;Constructeur;sono002;220.00
3;Droit Music;Constructeur;bass001;999.00
3;Droit Music;Constructeur;flute002;678.00
3;Droit Music;Constructeur;percussion003;345.00
4;Corrida Music;Importateur;piano003;2310.00
4;Corrida Music;Importateur;guitare002;300.00
4;Corrida Music;Importateur;saxophone003;610.00
4;Corrida Music;Importateur;batterie001;1110.00
4;Corrida Music;Importateur;sono001;110.90
4;Corrida Music;Importateur;bass003;1100.00
4;Corrida Music;Importateur;flute004;99.99
4;Corrida Music;Importateur;percussion004;110.99
